x	y
0	1.2
1	1.2
2	1.3
3	1.2
4	1.1
5	1.2
6	1.3
7	1.4
8	1.5
9	1.5
10	1.4
11	1.4
12	1.2
13	1.1
14	1.2
15	1.2
16	1.1
17	1.2
18	1.2
19	1.1
20	1.1
21	1.2
22	1.3
23	1.3
24	1.3
25	1.3
26	1.2
27	1.1
28	1.1
29	1.2
30	1.3
31	1.3
32	1.2
33	1.2
34	1.2
35	1.2
36	1.3
37	1.4
38	1.5
39	1.4
40	1.4
41	1.5
42	1.5
43	1.4
44	1.5
45	1.4
46	1.2
47	1.1
48	1.1
49	1.1
50	1.15
51	1.15
52	1.2
53	1.3
54	1.2
55	1.25
56	1.35
57	1.4
58	1.4
59	1.4
60	1.3
61	1.3
62	1.3
63	1.2
64	1.25
65	1.25
66	1.25
67	1.15
68	1.15
69	1.1
70	1.1
71	1.0
72	1.0
73	1.1
74	1.1
75	1.15
76	1.15
77	1.25
78	1.15
79	1.15
80	1.1
81	1.1
82	1.0
83	1.0
84	1.0
85	1.0
86	1.0
87	1.0
88	1.0
89	1.0
90	1.1
91	1.2
92	1.3
93	1.4
94	1.4
95	1.4
