x	y
80	2.29172711
84	2.1557857
88	2.05591963
92	1.97776713
96	1.91401248
100	1.8604493
104	1.81444882
108	1.7742646
112	1.73868075
116	1.70681876
120	1.67802443
124	1.65179831
128	1.62775094
132	1.60557314
136	1.58501561
140	1.56587458
144	1.54798151
148	1.53119548
152	1.51539756
156	1.50048652
160	1.48637552
164	1.47298953
168	1.46026335
172	1.44813994
176	1.43656917
180	1.42550672
184	1.41491328
188	1.40475377
192	1.39499683
196	1.38561426
200	1.37658067
204	1.36787306
208	1.35947059
212	1.3513543
216	1.34350689
220	1.33591253
224	1.32855672
228	1.32142613
232	1.3145085
236	1.30779248
240	1.30126762
244	1.29492421
248	1.28875325
252	1.28274637
256	1.27689579
260	1.27119423
264	1.26563492
268	1.2602115
272	1.25491804
276	1.24974896
280	1.24469904
284	1.23976335
288	1.23493727
292	1.23021643
296	1.22559672
300	1.22107425
304	1.21664536
308	1.21230657
312	1.20805459
316	1.2038863
320	1.19979875
324	1.19578912
328	1.19185475
332	1.1879931
336	1.18420175
340	1.18047841
344	1.17682087
348	1.17322705
352	1.16969496
356	1.16622267
360	1.16280838
364	1.15945033
368	1.15614686
372	1.15289638
376	1.14969734
380	1.1465483
384	1.14344782
388	1.14039458
392	1.14190592
396	1.14055816
400	1.13862044
