x	y
160	1.9565897
164	1.90806656
168	1.87125935
172	1.84171336
176	1.81709683
180	1.79603914
184	1.77766759
188	1.76139297
192	1.74679918
196	1.73358169
200	1.72151113
204	1.71041047
208	1.70014035
212	1.69058913
216	1.68166601
220	1.67329622
224	1.66541741
228	1.65797712
232	1.65093077
236	1.64424017
240	1.63787236
244	1.63179872
248	1.62599421
252	1.62043684
256	1.61510717
260	1.60998793
264	1.60506374
268	1.6003208
272	1.59574673
276	1.59133035
280	1.58706155
284	1.58293114
288	1.57893075
292	1.57505275
296	1.57129015
300	1.56763653
304	1.56408599
308	1.56063308
312	1.55727278
316	1.55400044
320	1.55081173
324	1.54770266
328	1.54466948
332	1.54170872
336	1.53881713
340	1.53599168
344	1.53322951
348	1.53052797
352	1.52788455
356	1.52529689
360	1.52276278
364	1.52028013
368	1.51784698
372	1.51546146
376	1.51312181
380	1.51082638
384	1.50857357
388	1.50636191
392	1.50294481
396	1.51950194
400	1.49220591
