x	y
0	596.5718347912655
1	501.01828725393864
2	487.3184774648398
3	488.0201836803928
4	481.3340949820355
5	483.06212591473013
6	464.6015784980729
7	471.3215871851891
8	465.18373021669686
9	455.95393817089496
10	459.6455917809159
11	473.1256659060717
12	475.81461902931335
13	490.818888695538
14	513.3952117353678
15	520.299519334361
16	503.06753159090874
17	514.0184167873115
18	502.4045379687101
19	489.56072072833774
20	476.7259330458939
21	482.05094593949616
22	474.142361869663
23	472.7468025282025
24	475.09541271068156
25	484.33312337938696
26	494.0154629619792
27	517.0903495239094
28	523.1987912154524
29	530.6661213523475
30	531.248215275514
31	540.3008259846596
32	531.0315790868132
33	541.7385481731966
34	550.121545782499
35	557.549828370288
36	560.5588225517422
37	570.0730441544205
38	578.7021239306778
39	587.8534108221531
40	603.332564716693
41	616.5204510105774
42	615.2492239600048
43	612.7576650289818
44	622.2226813709364
45	635.50392658161
46	627.4790681351908
47	650.4125254456885
48	681.5415604290553
49	687.2163844567724
50	702.5668573715259
51	733.7050315757748
52	723.4012319854926
53	718.0671879395377
54	724.7028472742531
55	714.4153161906637
56	708.1077232464683
57	727.0556087055709
58	747.1082675886806
59	754.642530031316
60	779.21120289471
61	798.0877825725358
62	816.6746242928784
63	811.5402708246838
64	826.0584951600991
65	849.686887980788
66	857.4835684678285
67	862.9985353485448
68	878.4052775013959
69	887.7265226323856
70	871.8757943864214
71	886.7920326242456
72	924.2891286506783
73	975.893243174674
74	1033.585214894684
75	1084.653478639503
76	1108.7448961901712
77	1093.5685433313251
78	1088.7478350460528
79	1071.4908205077052
80	1075.5497335801833
81	1102.8112656454555
82	1153.113322801329
83	1151.4157819151878
84	1144.5455210632645
85	1161.126420150511
86	1135.631313688634
87	1125.1469689282355
88	1127.213442008989
89	1128.46124016759
90	1114.6542559767609
91	1131.890514059458
92	1123.8835598561448
93	1129.781041099294
94	1145.7552891070723
95	1148.416340935626
96	1150.3937307451154
97	1157.4795165624005
98	1156.7604812481907
99	1152.043552429881
100	1153.1930012329947
101	1116.463066650508
102	1087.9262394740713
103	1084.649307289906
104	1120.7312393008033
105	1138.5909198403592
106	1204.1087674226612
107	1249.266424932517
108	1269.5565455389674
109	1246.9668379895156
110	1243.03406027935
111	1217.0932468411513
112	1228.0585557738318
113	1216.336670826003
114	1228.2626615138724
115	1212.6512214400805
116	1217.5278921407648
117	1200.6050348797812
118	1217.8672035254538
119	1196.1258227225394
120	1212.6251716945758
121	1186.3509411849197
122	1190.7131510437728
123	1186.9677654021682
124	1206.436994001575
125	1168.3975186388766
126	1240.3658428354333
127	1273.0953375796787
128	1316.1725378152914
129	1347.9552456595934
130	1365.4580263094977
131	1330.4467997880652
132	1302.065644464083
133	1274.976937500201
134	1278.9755930842832
135	1343.2274296375922
136	1340.3076205248012
137	1340.2703882610426
138	1339.3015190059318
139	1327.86183053907
140	1293.3572568450122
141	1318.4531976093508
142	1330.4889543249242
143	1327.9928995585972
144	1318.6230758248798
145	1323.3575937505782
146	1300.439905085077
147	1270.358723650535
148	1291.9564916670672
149	1307.5474418308004
150	1320.1218432702474
151	1324.3238850077032
152	1348.5018235807656
153	1329.8421730202274
154	1314.4446977169835
155	1297.3460506701492
156	1290.6498114111134
157	1289.7230709472904
158	1292.9953420165461
159	1298.372421273915
160	1305.5900684480089
161	1324.8583087523002
162	1329.2528676067013
163	1335.1366887457668
164	1342.2537713803351
165	1360.1434649214148
166	1374.5695348322392
167	1388.2588178059668
168	1399.8845847263933
169	1420.5813916832208
170	1412.8005516767503
171	1407.434428423643
172	1429.902332430461
173	1446.4721061907708
174	1451.954486053437
175	1458.0782165668904
176	1483.6400591965764
177	1490.8736800987274
178	1482.8031384240835
179	1466.6766408856959
180	1466.6507901897653
181	1429.6778843895531
182	1435.5707276356407
183	1441.9945956789888
184	1482.5567090176978
185	1499.0543492509983
186	1532.5322178551928
187	1542.3248087612913
188	1552.8321692803875
189	1539.3508744256571
190	1553.1567613216116
191	1577.3738368682564
192	1569.8456799570472
193	1551.9676271613687
194	1527.5146593562094
195	1538.7526120117632
196	1532.0506502647652
197	1541.631059651519
198	1565.990366276796
199	1600.690169778932
200	1585.908161257999
201	1571.3732778737553
202	1577.2558316506154
203	1593.9743112947501
204	1605.1069401733753
205	1633.886079743941
206	1661.2865824838111
207	1668.6482854873466
208	1665.954615907051
209	1676.446002792573
210	1676.1274091627215
211	1672.453510926268
212	1665.5048124908644
213	1667.675856327935
214	1631.4692655455497
215	1612.900922568189
216	1610.5681377821136
217	1596.5659944668412
218	1588.2777844116092
219	1594.2054787136615
220	1617.999367699027
221	1620.727590687573
222	1632.1664574805648
223	1631.1018857117742
224	1671.8609230462462
225	1665.6654416847973
226	1697.2779508631677
227	1717.0515837585554
228	1736.7768525138497
229	1737.3233735771908
230	1727.983934275998
231	1700.0475220294727
232	1684.0621875125973
233	1701.121253802447
234	1726.4420411608648
235	1754.2423481588717
236	1788.5071489771362
237	1798.120131634688
238	1803.8922860068735
239	1791.4185807237402
240	1780.6565751224757
241	1788.7262025672942
242	1808.4237528372555
243	1826.9643759835512
244	1839.665014588274
245	1869.665085866116
246	1890.1596929707332
247	1916.3807577779517
248	1918.1726675348357
249	1945.3492539148779
250	1954.1642917890101
251	1940.1724883456948
252	1948.774220348848
253	1963.4349604984745
254	1955.992953786673
255	1966.071047496004
256	1995.01633658777
257	2012.3710731089116
258	2020.4510956765619
259	2036.5345696727047
260	2079.3675418447006
261	2096.2020961888365
262	2143.262507693493
263	2169.603413613164
264	2196.2384593402035
265	2167.0498367086984
266	2167.5268065017417
267	2136.0927554477703
268	2124.254032133962
269	2101.0354930598987
270	2082.1261264529776
271	2075.7263268443057
272	2054.2097540712216
273	2056.7543173125246
274	2091.546692872164
275	2118.92547505938
276	2137.268856396701
277	2139.9406733946294
278	2119.4477749380167
279	2052.322198473464
280	2055.777368257928
281	2012.864845138695
282	2022.2315719610779
283	2040.689054327784
284	2049.360356408963
285	2016.4865334379022
286	2044.5199766519013
287	2051.9542816224157
288	2057.6897092540166
289	2096.998398130294
290	2133.430180232134
291	2117.5193422547077
292	2096.047383046441
293	2072.877009051584
294	2076.8158911166247
295	2084.893323150929
296	2091.8333959728016
297	2092.903846484097
298	2105.209251069883
299	2077.9203454652334
300	2062.6741950273513
301	2071.8300789830273
302	2095.258158388734
303	2123.001874737255
304	2181.879730196763
305	2199.916842570249
306	2225.169726362545
307	2221.2205127626657
308	2197.1135302284733
309	2155.967519986443
310	2171.4042647315887
311	2180.0520922593305
312	2189.7397711491676
313	2202.834399728896
314	2236.554942034604
315	2253.039099428407
316	2269.469352779351
317	2306.4688332948836
318	2335.8361931641584
319	2348.5222229418346
320	2350.1626702053704
321	2356.2446426030483
322	2355.5754763305185
323	2367.1620188242755
324	2341.065808695462
325	2351.02385417677
326	2358.316360045853
327	2353.061661659181
328	2361.651252358756
329	2381.9387125408043
330	2376.27097723342
331	2327.052552259783
332	2329.3135197099064
333	2314.7618014659733
334	2313.679882572405
335	2306.3718675430864
336	2334.3958278294654
337	2347.081122934958
338	2375.0661044915323
339	2397.9239896559275
340	2418.425193569169
341	2441.9618457850183
342	2439.1630191712293
343	2439.966722921934
344	2428.0253221227786
345	2456.976096596057
346	2497.6313158473467
347	2512.7955406341234
348	2535.7210659172038
349	2554.6040328800327
350	2534.034021272336
351	2538.3823277206393
352	2542.3602203596615
353	2548.665430292126
354	2584.2298757426556
355	2590.2019755955903
356	2559.731407752121
357	2585.891595788021
358	2564.632348634396
359	2558.0308682681525
360	2615.811813044408
361	2679.27000902351
362	2717.8901827835944
363	2756.0016135953833
364	2743.444895611517
365	2690.0328140874394
366	2642.360379371699
367	2586.4075935805217
368	2620.6817050759682
369	2662.9653227447534
370	2684.2163817935625
371	2691.34194775736
372	2731.5977699143814
373	2679.381191111542
374	2629.7778290027754
375	2633.1103064825757
376	2640.925585686229
377	2659.6411135017174
378	2668.626836935547
379	2730.572367103654
380	2726.2978935759284
381	2762.0120271595197
382	2771.0203104520915
383	2824.810523318383
384	2784.0613627267303
385	2808.9639972301434
386	2791.433700265363
387	2769.5806095229464
388	2783.4581078955903
389	2865.4337276089936
390	2913.840355854668
391	2942.2250958426157
392	2990.4757102294125
393	2979.984673936083
394	2979.62990588916
395	2983.637250180519
