x	y
0	718.46679822
1	759.61607195
2	816.42174669
3	825.72645751
4	780.3637873
5	708.34713676
6	823.57732143
7	880.89599001
8	936.31408402
9	940.52066086
10	953.98395294
11	988.3663963
12	1051.47877471
13	1092.89857378
14	1021.01832439
15	1095.1472187
16	1125.6772949
17	1157.90170183
18	1193.23676941
19	1184.17854962
20	1187.7118368
21	1226.16511515
22	1294.70881256
23	1232.7258769
24	1202.19293114
25	1310.40326499
26	1360.98169533
27	1364.17541562
28	1357.0819012
29	1451.77096002
30	1465.68678967
31	1489.99653748
32	1466.26421788
33	1462.9730425
34	1451.03243543
35	1453.49439924
36	1461.05622988
37	1516.56969442
38	1541.90177823
39	1543.01311297
40	1561.3173186
41	1562.37400176
42	1537.58197429
43	1501.73222134
44	1497.73784166
45	1446.9289183
46	1412.01500113
47	1371.79177265
48	1329.32645774
49	1298.23971958
50	1273.90022878
51	1283.1593031
52	1321.1077212
53	1389.39399005
54	1386.17144474
55	1377.4446352
56	1378.50113601
57	1335.72003279
58	1284.59048238
59	1289.26464798
60	1323.52556145
61	1348.95071144
62	1365.74319924
63	1381.43714145
64	1374.71462405
65	1380.24670961
66	1362.68470797
67	1385.77533495
68	1405.17702882
69	1461.54346666
70	1479.78855456
71	1505.87329459
72	1505.6080748
73	1500.77663731
74	1479.44867773
75	1468.52819052
76	1469.04082404
77	1504.97195371
78	1569.47999066
79	1656.47994056
80	1745.97629123
81	1817.77865836
82	1922.77040487
83	2010.00262447
84	2037.42063635
85	2130.15198663
86	2025.46354224
87	2036.05960489
88	2181.4005995
89	2169.89686256
90	2169.10520401
91	2157.9546467
92	2187.87032115
93	2196.33707799
94	2249.04692326
95	2285.10112535
